__label__1 , The European Union includes how many ?
__label__2 , How do you remove bleach stains from tile grout ?
__label__2 , What were tantalum 's important uses ?
__label__1 , Name the state song of florida ?
__label__1 , Scrutiny in a sentence as a noun ?
__label__1 , How many grams of fat is in 2 strips of bacon ?
__label__2 , How do you convert kg to lbs ?
__label__1 , How many miles between fort lauderdale and port saint lucie ?
__label__2 , What are coca cola objectives and goals ?
__label__2 , Can you just catch parkinsons disease ?
__label__2 , What purpose does the sacraments serve ?
__label__1 , Where is oil filter on 2006 trailblazer ?
__label__2 , What are the sites in kansas ?
__label__1 , What did they trad on the silk road ?
__label__1 , What are the defference between following sports football and soccer ball ?
__label__2 , What is the point of view from which the charge of the light brigade is told ?
__label__2 , Why was it important for washington to build unity ?
__label__2 , What is the website for hiring n-dubz ?
__label__1 , Which of the following is an autotroph mushroom monkey dog tree ?
__label__2 , What where characteristics of roman architecture ?
__label__2 , How deadly is a scarlet king snake ?
__label__1 , Wiper arm correct way round mitsubishi colt 1988 ?
__label__1 , What do the word island mean in rhode island ?
__label__1 , Biological warfare agent toxins ?
__label__1 , The role of literature in english language ?
__label__1 , What is the influences climate in ireland ?
__label__1 , 750 milileters equal how many ounces ?
__label__2 , Where is the second globe theater built ?
__label__1 , The total resistance ina parallel circuit is ?
__label__2 , How many satellites does the planet have ?
__label__1 , How many ounces does human spinal chord weigh ?
__label__1 , The red jumpsuit apparatus members gay ?
__label__2 , When did galileo galilei make his discovery on Dynamics ?
__label__2 , What are the types of epithelial membranes ?
__label__1 , World record heaviest cat ?
__label__2 , What is the offfical language of Ireland ?
__label__2 , How many main political parties are there ?
__label__2 , Ozone protects the earth surface from what ?
__label__1 , Where did ned kelly live most of his ?
__label__1 , Where can you go for a college in Michigan ?
__label__2 , Where did the major battle named Vicksburg take place ?
__label__2 , What is England 's unemployment rate ?
__label__2 , What is the purpose of the insulin hormone ?
__label__1 , What equitment is needed for perfessional figure skating ?
__label__2 , How do you empty canine anal glands ?
__label__1 , Ounces in teaspoons ?
__label__1 , Who was cleopatras husband ceasar ?
__label__1 , What is ray Lewis middle name ?
__label__2 , Is Lealand Chapman in a relationship ?
__label__1 , In the horor film Prom Night does the main charector ?
__label__1 , What are major export ?
__label__2 , What is the difference between top-down and bottom-up planning ?
__label__1 , 1950 b fifty dollar bill ?
__label__1 , When did William Golding died ?
__label__1 , In what year was created the television ?
__label__2 , What Amendment states a search warrant is necessary before any citizen 's possessions may be looked at and seized ?
__label__2 , How many pints is 40 oz ?
__label__1 , Michael Irvin and college ?
__label__1 , How many valence electrons does a rubidium have ?
__label__2 , Who did people believe killed william in the book frankenstein ?
__label__2 , How many calores are in 1gram of fat ?
__label__1 , Where is the three weel chariot in poptropica ?
__label__2 , How many of Ohio 's electoral votes went to Romney in 2012 ?
__label__2 , Moldova is landlocked by what two countries ?
__label__1 , What kind of cloths does lil wayne wear ?
__label__1 , Which country speaks africaans ?
__label__1 , The cerea dwarf planet in the asteroid belt ?
__label__1 , What are two main types of freshwater ecosystem ?
__label__2 , What are the main religions in moroco ?
__label__2 , What did Leonardo Da Vinci study about ?
__label__1 , Where douse a butterfly live ?
__label__2 , What kind of festivals do they have in brazil ?
__label__1 , What symbols represtent Confucianism ?
__label__2 , Where are the anime websites ?
__label__2 , What is the national course of serbia ?
__label__2 , How much does IL unemployment pay ?
__label__2 , What is ozzy osburnes real name ?
__label__1 , How i can have keanu reeves email ?
__label__2 , How can you cure a burnt tongue ?
__label__1 , What is gender of boar ?
__label__1 , Information on stone age tools ?
__label__2 , What is the purpose of the data processing cycle ?
__label__2 , What are the 5th ammendment rights ?
__label__1 , What year was janet jackson born on ?
__label__1 , What suggestion for improvement of building construction ?
__label__2 , How do you remove dried latex paint from vinyl windows ?
__label__1 , Are blueberry pancakes a mixture ?
__label__1 , Is coelacanth part of the swimming prehstoric reptile ?
__label__2 , What is light dependent reaction product ?
__label__2 , How much does jack swagger get paid ?
__label__2 , What awards did the offspring win ?
__label__2 , What do all the characteristics of lipids have in common ?
__label__1 , How many seconds are in opne week ?
__label__2 , How do you disconnect a battery in a 2000 vw jetta ?
__label__1 , Best workout exercises to losing weight ?
__label__2 , What kind of duties do you have as a marine biologist ?
__label__2 , Are there moutains in new england ?
__label__1 , Which tool do you use to separate things a hand lens forceps a ruler or a thermometer ?
__label__1 , What is nursing fields ?
__label__2 , What is the scientific name for the lilly pad ?
__label__2 , Why was the radio important in the old days ?
__label__2 , How much did a pound of coffee cost in 2008 ?
__label__1 , When did aaliyah marry rkeeli ?
__label__1 , Why superman die ?
__label__1 , 20 cents equals how many rupees ?
__label__1 , How many games universityof alabama won ?
__label__2 , What is the smallest unit in which an element can exsist ?
__label__2 , How much does an 07 mustang cost ?
__label__1 , What color are the loch ness monsters eyes ?
__label__1 , What is guatemalas national animal ?
__label__1 , Picture of flasher relay laction in a 2002 alero ?
__label__1 , What colothes do they were in Romania ?
__label__1 , Name the native americans that spoke english and helped the pilgrims survive ?
__label__2 , In what regions of the world are coral reefs located in ?
__label__1 , What is spred sheet ?
__label__2 , How many red pandas are left today ?
__label__1 , How many calories in coke cola ?
__label__1 , Worlds largest university campus ?
__label__2 , How do you do a flow map on word ?
__label__1 , What is social wellbeing ?
__label__1 , Positve effects of the media for justice ?
__label__2 , What is an example of heredity in science ?
__label__1 , What is new york state sloggan ?
__label__2 , What is the number of nucleons in a silicon atom ?
__label__1 , Features that distinguish epithelial from other tissues ?
__label__2 , Where does jeannete mccurdy shop ?
__label__2 , What is the penis average for a 14 year old ?
__label__1 , Medical importance of nucleic acid ?
__label__1 , What is some cool wesites for kids ?
__label__1 , How do you become a archaeologist do ?
__label__1 , What are some chanlleges that haile selassie you had ?
__label__2 , What is pipelining in TCP ?
__label__1 , When orion was discovered ?
__label__2 , What are five intresting facts about kentucky ?
__label__1 , The oldest city on the world ?
__label__1 , Legal to buy marijuana seed from canada mail to US ?
__label__2 , What class is the sea star ?
__label__2 , How do you change 2000 alero wheel bearing ?
__label__2 , What were the characteristics of gothic architectures ?
__label__2 , How much is mike skinner net worth ?
__label__1 , What is natural preservative ?
__label__2 , Who are janet jackson 's parents ?
__label__1 , 20 examples of deductive reasoning ?
__label__2 , How many endangered animals are in indonesia ?
__label__2 , What are the two important events in Colorado ?
__label__1 , What is rob dyerdaks phone number ?
__label__2 , What is hypha ?
__label__1 , Where fossil fuels are usually found ?
__label__2 , What event happened during the Qing Dynasty ?
__label__2 , How much does sulphur cost ?
__label__1 , What countreis border peru ?
__label__2 , Why is easter celebrated on Sunday ?
__label__1 , General inflation rate pakistan 2008 ?
__label__1 , Lil fizz is a singer ?
__label__1 , Two bones that form th knee joint ?
__label__1 , What kind of food is their in Asia ?
__label__1 , What is the simple ten commandments ?
__label__1 , ATP consist of ribosomes ?
__label__1 , How much is a 50 dollar bill worth in currency of US ?
__label__1 , Bermuda dunes palm springs ca how get the name ?
__label__2 , Where was the sunflower first grown ?
__label__2 , Where does bishop michael burbidge live ?
__label__1 , What signs do Tuberculosis ?
__label__1 , What is disney world in florida 's address ?
__label__2 , How many nail salons are in the US ?
__label__2 , What year was dolly the sheep born in ?
__label__2 , Is jason voorhees gay ?
__label__2 , How much does california VC 21453 cost ?
__label__1 , What is the earth pin in a plug used for ?
__label__1 , What do crocodiles and alligators have in commen ?
__label__1 , What are the health risks of a obile phone ?
__label__1 , What happened on april6 1917 ?
__label__1 , What langage to china speak ?
__label__1 , What level dose seadra evolve at in sapphire ?
__label__1 , Symptoms of high blood pressure in a 5 year old ?
__label__2 , Should wearing a helmet be a law ?
__label__1 , What is teh chemical symbol for sulphuric ?
__label__2 , How many ounces of shredded cheese is in a cup ?
__label__1 , Where can you find your pay stubs on line mgmmirage ?
__label__1 , Does katie price live in lunghurst road ?
__label__1 , How many kilometres in germany ?
__label__1 , How many feets in two miles ?
__label__1 , What is the length of the missing side of a trialgl ?
__label__1 , Are Sound waves are electromagnetic ?
__label__1 , How many bridges are in the US of america ?
__label__1 , What is tehe use of thistle tube ?
__label__1 , How many watts powers an air condition window unit ?
__label__2 , What is the symmetry of a lugworm and a sandworm ?
__label__1 , How do genators produce electricity ?
__label__2 , What number is vinegars pH scale ?
__label__1 , What is the salary for selling lawrence ?
__label__2 , What was the biggest creature in the world ?
__label__1 , Where does stringrays eat cheese ?
__label__2 , Where is the egr valve on protege 2001 ?
__label__2 , Where is the hole in the ozone layer ?
__label__2 , How much does it cost to register a copyright with the indian copyright office ?
__label__1 , Belt diagram 350 chevy ?
__label__2 , Who is jonathan ive ?
__label__2 , Can you mix acetaminophen and adderall ?
__label__2 , How much money does a herpetologist earn an hour ?
__label__2 , What pharaoh had the biggest pyramid ?
__label__2 , What monsters drop nature runes ?
__label__1 , Would schorching butter be a chemical change ?
__label__2 , How did caolus linnaeus classify organisms ?
__label__2 , How is seaweed important ?
__label__1 , Where did Henry Hudson actually explored ?
__label__1 , How many people in the unite states die from a heart attack ?
__label__1 , What is pixie lotts new album ?
__label__2 , What region of africa is cameroon located ?
__label__1 , One of new zealands oldest trees that start with a k ?
__label__2 , When did paralympic basketball begin ?
__label__2 , Do fish reproduce through external fertilization ?
__label__1 , What is the purpose of a lipids ?
__label__2 , How much does it cost to get a pilots license at Heathrow airport ?
__label__2 , How can you drink though straws ?
__label__1 , What was the big dealofthe berlin wall ?
__label__2 , What is one kind of hockey pass ?
__label__1 , How many church of england churches is there in england ?
__label__2 , What kind of economies do emerging markets have ?
__label__1 , On girlsense where is the psp ?
__label__2 , What movie was the first to play in 3D ?
__label__1 , What type of mountain is MtEverest ?
__label__2 , What region is the armpit ?
__label__2 , What color is christina milian ?
__label__1 , What is the difference in life insurance No exam ?
__label__1 , What are ways to devolpe water erosion ?
__label__1 , What is alexandras msn addy ?
__label__2 , What are the uses of african masks ?
__label__2 , What are some good fundraising ideas for youth trips ?
__label__1 , How do you chane the headlight in a 2002 hyundai elantra ?
__label__2 , How may homework appear to be a bad thing for children ?
__label__1 , How many therms in you gallon of lp propane ?
__label__1 , What languanges do Belgium speek ?
__label__2 , What is the value of a coin labeled commerce industrie 1 franc 1922 ?
__label__2 , What is the style of the painting Water Lilies by Monet ?
__label__2 , What did Stephen Hopkins say about British taxes ?
__label__1 , When nominal gdp is higher ?
__label__1 , Malwarespyware and adware ?
__label__1 , What is the rule whan a volleyball hits the net during a serve ?
__label__1 , Who descovered malta ?
__label__1 , What crops were grown in the Uk in 1700s ?
__label__2 , What country outside the US has the most Baskin-Robbins locations ?
__label__1 , Things about the celts ?
__label__2 , What is the statute of limitations for stealing in the state of Arizona ?
__label__1 , How did chris benwae ?
__label__1 , What sport did Jack Nicklause do ?
__label__1 , How much fat in a grilled chicken breast ?
__label__1 , Where is joseph fry and sons factory ?
__label__1 , What does the name Isaacs means ?
__label__1 , Where can you find all of the jet pack fuel for a stamps for clubpenguin ?
__label__1 , Which people gained political power in the south as a result of the reconstruction act of 1867 ?
__label__2 , What is lil waynes girlfriend 's name ?
__label__2 , How does the change in temperature affect the speed of molecules ?
__label__1 , A scale of irelands religion ?
__label__2 , What is the bowman 's capsule connected to ?
__label__2 , Why was dropping the atomic bomb a bad decision ?
__label__2 , Where is the fuel pump located on a 2002 pontiac sunfire 2.2 L ?
__label__1 , How do studying history gives us an identity ?
__label__2 , What did pericles do as he was ruler of athens ?
__label__1 , The word muse in a sentence as in to say thoughtfully ?
__label__2 , What do black widows do for us ?
__label__1 , Why does chocolate melts ?
__label__2 , Where did corn pudding originate from ?
__label__2 , How many kw of energy does a clothes dryer use in a week ?
__label__2 , Where 's steve perry ?
__label__2 , Where is the fuel pump in the 2004 pt cruiser ?
__label__2 , What kinds of bears live in poland ?
__label__2 , How do you catch a Jirachi in sappire ?
__label__1 , The stage of developement in which the developing human attaches to the lining of the uterus ?
__label__1 , Used Car Buying Sales Tax in Tennessee ?
__label__1 , What cells can HIV destroyed ?
__label__2 , Where and when did madam marie curie 's husband die ?
__label__1 , Ow deep is the crust of the earth ?
__label__1 , What is laos main crop ?
__label__1 , What nutritions can you get from banana andd pineapple salad ?
__label__1 , Novanet answer What was the bataan death march ?
__label__1 , How much does a oz of marijuana weigh ?
__label__2 , How do you find a psychiatrist ?
__label__1 , What do engineers doon the job ?
__label__2 , Where do Avacado pears grow ?
__label__1 , What channel is snl on cox ?
__label__2 , What is the work schedule of a criminal lawyer in Atlanta ?
__label__1 , One Tennessee US Representative - 7th disctrict ?
__label__1 , Where are sperms made and stored ?
__label__1 , What the qualifications of a senator ?
__label__1 , What crops grown in france ?
__label__1 , What do the stares on the flag symbolize ?
__label__2 , How could you use arid in a sentence ?
__label__2 , What nutrients does the tomato contain ?
__label__2 , Is kamchatka volcano in russia ?
__label__1 , What is fiduciary system ?
__label__1 , How much new house cost in 2009 ?
__label__1 , What degree would you need to get to become a forensic dna ?
__label__1 , Where wass the buddha 's favorite place ?
__label__2 , Can an 18 yr old have sex with a 15 yr old in texas ?
__label__1 , What percentage of europe sre christian ?
__label__2 , How did photography affect society ?
__label__2 , Can bears eat hawks ?
__label__1 , What are sighs when a boy flirts with you ?
__label__2 , How many calories are in a baked cheeseburger ?
__label__2 , What is the median household income for American INdians on reservation compared to the US average ?
__label__1 , What counrty did jacques cartier sail for ?
__label__2 , What did tim berners lee do to make him famous ?
__label__2 , Will Santa reply if you write him a email ?
__label__1 , 1979 Kennedy half ?
__label__1 , What differentce between stimulusintersity and stimulus frequency ?
__label__2 , How do you convert liters in gallons ?
__label__1 , Zip codes for southern springs in texas ?
__label__2 , On which continent is russia found ?
__label__2 , How many zeros in 36 million ?
__label__2 , What is fundamental qualities of modernism ?
__label__1 , Which direction did columus sail to get to the indies ?
__label__1 , What is the size of standard queen mattress ?
__label__2 , How big is walt disney world in square miles ?
__label__1 , Scopes for bio-medical engineering ?
__label__1 , What kid of car does joe jonas drive ?
__label__1 , How many celebritys are in the world ?
__label__1 , How much height the mount whitney ?
__label__1 , How many salt grams in a pot of pasta ?
__label__1 , Do girls poke there self ?
__label__1 , How much does borax ?
__label__2 , What best describes the Geography of New England ?
__label__2 , How can you delete skype on your psp ?
__label__1 , What continent panama located on ?
__label__2 , Is katie lea burchill goth ?
__label__1 , 1929 buffalo nickelds ?
__label__2 , What is web conferencing ?
__label__1 , Molecular geometry of CH4 ?
__label__1 , How much do pediatricians earn a hour ?
__label__1 , How much does an Radiologic Technologists earn ?
__label__2 , What kind of degrees relate to mechanics ?
__label__2 , What is the worst tv show on earth ?
__label__2 , What do striped possums drink ?
__label__1 , Where is vizio manufacturing ?
__label__1 , Biggest audience in a stadium concert ?
__label__1 , When was candle clock used ?
__label__1 , Americas favorite candy ?
__label__1 , Howmuch does a cardiologist earn in the UK ?
__label__2 , How many metric meters in a linear meter ?
__label__1 , What Is Baltimore MaryLands Population ?
__label__2 , Where does lynx come from ?
__label__1 , What term ` ceramic ' covers ?
__label__1 , What is the hight of leighton meester ?
__label__1 , How do you remove rear bumper from celica ?
__label__1 , What do mustangs do for living ?
__label__1 , Why rizal write a letter to the women of malolos ?
__label__1 , Poorest country in east asia ?
__label__1 , Name three food sources of Proteins ?
__label__1 , What was the consequences for southern leaders ?
__label__2 , What receptor type is used when you feel a caress ?
__label__1 , Winston churchill was born where ?
__label__1 , How much money does a truck driver earn Cached page ?
__label__1 , Zac efrons parents names ?
__label__2 , How do you repair the hood release from the engine side ?
__label__1 , Common name of monosacharides ?
__label__2 , What is the value of a 1948 Netherlands 10 cent coin ?
__label__2 , What the biggest pyramid ?
__label__2 , The Taurus mountains are located in which country ?
__label__1 , What sponsors answerscom ?
__label__1 , Similarities between a map and a globe ?
__label__2 , How do you control oxygen levels of water in a fish tank ?
__label__1 , The meaning of the word gestation ?
__label__1 , How many calories r in a chicken shiesh kebab ?
__label__1 , Where to find your gspot ?
__label__1 , What level doe finneon evolve ?
__label__2 , What are ways to prevent gingivitis ?
__label__1 , Best gn for zombies ?
__label__1 , Are significant figures CERTAIN ?
__label__1 , What kind of cloth puritans wear ?
__label__2 , How many kg is 108 pounds ?
__label__2 , What are the transport facilities like in Paris ?
__label__1 , How do you remove hair from vagina ?
__label__2 , How many calories in one cup of fruit ?
__label__2 , How is climate influenced by landforms ?
__label__1 , How much do radios cost in cannada ?
__label__1 , What is the scientific name of rice pullerr ?
__label__2 , What temperature is air in a refrigerator ?
__label__1 , When Answers.com was created ?
__label__1 , As of 2009 what is Sean p diddy worth ?
__label__1 , 1 ounce is how much gram of silver ?
__label__1 , What did caribben island lizards eat ?
__label__1 , Why si james herriot famous ?
__label__2 , Are granite pools good ?
__label__1 , Two types of building blocks fats ?
__label__2 , How did the machanical reaper work ?
__label__1 , Are robert pattinson and kristen stewuart engaged ?
__label__2 , How did Brett Favre 's father die ?
__label__2 , Are there codes for aqw ?
__label__1 , What movement did Cesar chavez is most closely associated with in america ?
__label__1 , How do color your hair with kool aid ?
__label__1 , How did betty friedan the ERA and NOW play a role in the changing role of women in america ?
__label__1 , Make an oral presentation in jamaica ?
__label__1 , Can you fight in mma if you have fever blisterscold sores ?
__label__2 , What is seouls population ?
__label__1 , What is ngos iloilc in labor welfare ?
__label__2 , How can you see light rays ?
__label__2 , When was candle clock invented ?
__label__1 , Minimum age prescribed in India for citizen to cast their vote ?
__label__2 , Where does relief precipitation occur in canada ?
__label__2 , Where would be a bad place to put a wind turbine ?
__label__2 , What are some Resources of Idaho ?
__label__2 , What is fungi 's genus ?
__label__1 , What continent do black rhinos live ?
__label__2 , What is impulse exerted ?
__label__2 , Where is the fuel filter on a 2000 Mercury Mountaineer 5.0 litre ?
__label__1 , How much money does a dermatologist get a year ?
__label__2 , How do you replace a heater core on a 93 cadillac deville ?
__label__2 , Why is britney spears a skank ?
__label__1 , Where to find a manga bookstore ?
__label__1 , Barbiturates are classified as ?
__label__2 , Why is chemistry needed to become a surgeon ?
__label__2 , How much does leighton meister weigh ?
__label__1 , Where do you catch zapdos in gol ?
__label__1 , Bachelor opposite gender ?
__label__1 , What is the prodution techniques ?
__label__2 , Can you have an apple computer to download music to the psp ?
__label__1 , Racquetball court dimensions ?
__label__1 , Where to get the bow in phantom houglass ?
__label__1 , What are the perctises of sikhism ?
__label__2 , How many electoral votes does Oklahoma have in the presidential elections ?
__label__1 , How many year was menzies australia 's prime minister ?
__label__1 , Is a asia a country ?
__label__2 , What religion do bantu people practice ?
__label__1 , How big is robert wiseman dairies ?
__label__2 , Where can you find a manual for a Stoeger 2000 shotgun ?
__label__1 , Where do you fine hot ebony girls ?
__label__2 , How many centimeters is a meterstick divided into ?
__label__2 , What is the importance of reclamation ?
__label__2 , What is vodka made out of in israel ?
__label__1 , Serpentine Belt Drive change 95 chevy pickup ?
__label__2 , How much do Physical therapist make yearly ?
__label__2 , Why does darth vader always walk ?
__label__2 , Where in Vienna did Beethoven live ?
__label__2 , What was the first paint color ever ?
__label__2 , How many miles is it from Moscow to Irkutsk ?
__label__1 , Latest population in Bangladesh ?
__label__1 , Salarly of a radiologist technician ?
__label__1 , What are the pysical fitness test ?
__label__2 , What is a name of a polder ?
__label__1 , Where is cotton grown australia ?
__label__2 , How many employees work for JD sports ?
__label__2 , What happened to the mother in the David Pelzer case of child abuse ?
__label__1 , Stuttgart - venice ?
__label__2 , What is thomas hobbes contribution to american democracy ?
__label__1 , What is the important animals in your liver ?
__label__2 , What is the difference between unbleach flour and regular flour ?
__label__1 , How much does hlary duff weigh ?
__label__1 , Average weigh of 33years old ?
__label__1 , Is there alot of water in the western cordillera ?
__label__2 , What did malcolm x face in school ?
__label__2 , How may smurfs are in the show ?
__label__1 , What sort of climate in the alps ?
__label__2 , How do you become a landscape architect in nevada ?
__label__1 , When was robert pattinson born and what time ?
__label__2 , How does stress management affect your wellness ?
__label__2 , What did milk cost in 1948 ?
__label__2 , What jobs will be made in the future ?
__label__1 , Why is carbon cycle inportant ?
__label__2 , What is a p0456 engine code ?
__label__1 , How many fans hockey has ?
__label__2 , How did the Atlantis sink ?
__label__1 , .1 What is the medical term for kidney stones ?
__label__2 , Do football players get paid for england ?
__label__2 , How much money does a cashier earn per month ?
__label__2 , How much is michael jordan 's card ?
__label__1 , How many grammys did stevie wonder ?
__label__2 , How hot is the curst of the earth ?
__label__1 , What is scientific name os starfish ?
__label__1 , Lewis dot structure of CH3NH2 ?
__label__2 , What is the risk of nuclear power ?
__label__2 , How do you get the key on confederet islands house ?
__label__1 , Postage stamp price in October 2009 ?
__label__2 , What are some good seasonings for chicken ?
__label__2 , Can you list adjectives that start with the letter a ?
__label__1 , Population of Asia ?
__label__1 , 3 ounces equalshow many cups ?
__label__2 , Can ecstasy pills have a duck on them ?
__label__1 , When was Lipgloss foundedand at what time ?
__label__2 , How do dolphins commucate ?
__label__2 , What happened in 1938 in the US ?
__label__2 , What did jose rizal do for a living ?
__label__1 , Is jason dolly dating mariana wlash ?
__label__2 , What is kendall schmidts 's favorite animal ?
__label__1 , How many people died insstantly during the Nagasaki bombing ?
__label__2 , Where did most of the raw materials that exchanged hands in the East African trade come from ?
__label__1 , Where is oil pressure switch in 94 sunbird ?
__label__1 , There are how many branches in world ?
__label__1 , Bin blank equals al-qaeda leader ?
__label__2 , Where is timpani played ?
__label__2 , What are the dimensions of a tennis court in metres ?
__label__2 , How did peter salem change the world ?
__label__1 , Problems to the great barrier reef ?
__label__1 , Legal age for bb gun seal tube ?
__label__1 , Meanign and obfectives of audit report ?
__label__1 , What is female wizard called ?
__label__2 , Who illistrated the farside cartoons ?
__label__1 , Where did Aaron Rodgers go to ?
__label__2 , What did desidrius erasmus and francois rabelais have in common ?
__label__1 , What is happens in G1 phase ?
__label__1 , What are the 3 types of hotel reservation ?
__label__2 , How do you say princess in all the different languages ?
__label__2 , What did henry hudson discover during his exploration ?
__label__2 , What year did they found delaware ?
__label__1 , How do you cook a beef bottem roast ?
__label__2 , How many episodes does soul eater consist of ?
__label__1 , The name of the sequel of blossom ?
__label__1 , How do a remove the radio on a 99 passat ?
__label__1 , Where does the satellites made ?
__label__2 , Who discovered shale rock ?
__label__2 , How much does krill weigh ?
__label__2 , What is the function of a column in a building ?
__label__2 , How much money has nadal rafal got ?
__label__1 , How many fat grams are their in eggs ?
__label__1 , In which countery did chess originate ?
__label__2 , Where does glycosis occur ?
__label__2 , What is the use or erlenmeyer flash ?
__label__1 , Can a Lung be damaged by chemicals breathed in a car fire ?
__label__1 , 60 ounces of water equeal how many cups ?
__label__2 , Which fruits are very healthy ?
__label__1 , What kind of pokeman learn cut attack ?
__label__2 , Where do you find a moon stone in sapphire ?
__label__2 , What is pancreatitis in humans ?
__label__1 , Names the four marks of the catholic church ' ?
__label__1 , Where was songhay empire was located ?
__label__1 , How did cuba gets its name from ?
__label__2 , What is the volume of a pound of sand ?
__label__1 , Where is Floridas nearest oil resource that is being used right now ?
__label__1 , Can women become pregnant if she smooches the penis ?
__label__2 , What are five abiotic facts ?
__label__1 , What kind of girls taylor lautner likes ?
__label__2 , How do you find a stylist in fable 2 ?
__label__1 , 3 gallons in a quart ?
__label__2 , What is label status ?
__label__1 , What is neptune also called as ?
__label__2 , What are the settings of dracula ?
__label__1 , What is the poorest countries per capita income ?
__label__2 , How is the climate in vermont ?
__label__1 , Sean hannity annual income ?
__label__1 , How many letters arein the english alphabet ?
__label__2 , What is jojos aim screename ?
__label__2 , Where was the pit located at the globe theater ?
__label__2 , What is the social structure of a wasp ?
__label__2 , What are the organs of the reproductive system ?
__label__2 , What are two parts of every email address ?
__label__2 , What is diazepam ?
__label__2 , What is the lungs purpose ?
__label__2 , What is the main job of the Judicial Branch ?
__label__2 , What was the name of the Prime Minister of Ethiopia in 2005 ?
__label__1 , Show you a picture of Pet Scan machine ?
__label__1 , Name which means man of steel ?
__label__1 , There is any need for aconvertor for thermocouple ?
__label__2 , Who first told the story of Beowulf ?
__label__2 , What is hentai corner ?
__label__1 , What is culture in integrative ?
__label__2 , How much in us dollars does heroin cost ?
__label__2 , What is the legal working age in CA ?
__label__2 , How much would a derek jeter rookie card cost ?
__label__1 , How many inches does 18cm equals to ?
__label__2 , What are some colors beginning with a Y ?
__label__2 , How much does it cost for a hunting license ?
__label__2 , How many calories in reef fish ?
__label__2 , How do you change your mouse pointer into a picture ?
__label__1 , What is the weakest muscle in body ?
__label__2 , What can you contribute to the society if you become a lawyer ?
__label__2 , Why was was malcolm x in jail ?
__label__2 , Can scars dissapear in years time ?
__label__1 , What is the percentage salt in a mormal saline solution is what ?
__label__2 , Can you get high off carisoprodol ?
__label__1 , How many kids did martin luther kng have ?
__label__2 , What are the responsibilites of alberta 's representatives ?
__label__1 , What is the ticker for birkshire hathaway ?
__label__2 , What are main charcteristics of a butterfly ?
__label__1 , What college did Ken Griffey JR go ?
__label__1 , What is the economy and income in mexico ?
__label__1 , Where is Serena williams house in Florida ?
__label__2 , Where did ben franklin and dolly madison live ?
__label__2 , What is voltage mountain dew made of ?
__label__1 , Plants and animals that live in grasslands ?
__label__2 , How do medicines protect your body ?
__label__1 , What are the oceans two forces ?
__label__1 , What is the south vietnam capital ?
__label__2 , How much money is it to adopt a child ?
__label__2 , What are Bolivia 's two capitals ?
__label__2 , How many cents for one euro ?
__label__1 , How do you get the get the setting for the wireless router ?
__label__2 , When did king charles 1 marry henrietta maria ?
__label__1 , You are using nokia 5310 and you want to deactivate voicemail ?
__label__2 , How much does an average basketball ticket cost ?
__label__2 , What is south americas smallest country by size ?
__label__2 , How do you measure oil and gas ratio for a weedeater ?
__label__1 , A mile is how many square miles ?
__label__1 , What is the responsibilities of the receptionist ?
__label__2 , Can you make sugar crystals out of brown sugar ?
__label__1 , What are famous in India ?
__label__1 , Names of people in figure skating ?
__label__1 , Helium gas eliment or compound ?
__label__2 , What is the origin of the surname Sarantakos ?
__label__2 , What are school analogies for chloroplasts ?
__label__1 , Absolute 0 temperature is reached at ?
__label__2 , When did sekirei come out ?
__label__2 , How do natural forces effect the area ?
__label__2 , Who did the immigration quota system discriminate against ?
__label__1 , US government 's failed attempt to start a revolution in Cuba ?
__label__2 , What is the heaviest bench press ever recorded ?
__label__2 , What is the body temperature of a snake ?
__label__2 , How much money does the pilot earn in a flight ?
__label__1 , Witch religions are the biggest in india ?
__label__2 , What is the name of the biggest seed in the world ?
__label__1 , What is money is used in Eire ?
__label__1 , Company Headquarters for Billabong ?
__label__1 , Raising freshwater clams ?
__label__2 , When were slate roofs invented ?
__label__2 , How much does a club penguin plush toy cost ?
__label__2 , How do Crabs sense their environment ?
__label__2 , How much do dofleini octopus weigh ?
__label__1 , In what way does mercury rotate in ?
__label__2 , What is the scientific name for wild flowers ?
__label__1 , Which ocean is the madagascar ?
__label__2 , How much does chris bosh earn ?
__label__2 , What are your duties as an administrative assistant ?
__label__2 , What is the soil like for deserts ?
__label__2 , What are the responsibilities of fire men ?
__label__1 , What is square mileage of mexico ?
__label__2 , What is worse 10000 watts or 10000 volts ?
__label__2 , What was the age of the oldest dog when it died ?
__label__2 , How do you avoid a accident ?
__label__2 , What are the types of clothing in Nicaragua ?
__label__2 , When was The End of the Greeks by Hundertwasser painted ?
__label__2 , What is marine oil pollution ?
__label__1 , How many millerlitres in a gallon ?
__label__2 , What is zip code in santiago dominican republic ?
__label__2 , How many milliliters are in a half of cup of water ?
__label__1 , How many calories in 10 chkn wings ?
__label__1 , Can the mother die if shes having a threated miscarriage ?
__label__2 , What is texas most famous natural landmark ?
__label__1 , What bussiness ethics are ?
__label__2 , How much is a 1961 new zealand penny worth ?
__label__2 , How do you say survivor in hebrew ?
__label__1 , What is madison pettiss favorite show ?
__label__1 , How do make grass in doodle god ?
__label__2 , Which membrane encloses the heart ?
__label__2 , What do worshipers do when they enter a Mosque ?
__label__1 , A timeline of the 17th century ?
__label__2 , What did the early farmers use flint for ?
__label__2 , Why was jack lang sacked ?
__label__2 , Which two devices are considered output devices ?
